"©2021 Ofcourse All rights reserved.","©2021 Ofcourse 版权所有."
"A better world through creativity","abc"
"ADDRESS","地址"
"HOURS","工作时间"
"CONNECT","社交"
"Shop","商城"
"Contact Us","联系我们"
"Terms of use","使用条款"
"Monday-Friday, 10-7PM","周一至周五，10:00~19:00"
"998 Anbo Rd, Building No.1-401, Yangpu, Shanghai","上海市杨浦区安波路998号创智汇1号楼腾讯创新创业中心4楼401室"
"Add your art work to your workplace","添加你的艺术创作到专属于你的空间之中"
"More Info Title","会员福利办法："
"More Info Content","1.知识库内容"
"More Info Content1","2.工作坊 两次免费一年"
"More Info Content2","3.文创产品折扣"
"More Info Content3","4.上课积分兑换在线录播课程"
